,시도시군구,발생지점,법정동코드,발생건수,위도,경도,피해인원
0,제주특별자치도 서귀포시1,제주특별자치도 서귀포시 서홍동(중앙로타리 인근),50130106,25,33.253200318641,126.561048673958,66
1,제주특별자치도 서귀포시2,제주특별자치도 서귀포시 서귀동(김약국 인근),50130101,25,33.247607009457,126.561943147759,74
2,제주특별자치도 서귀포시3,제주특별자치도 서귀포시 동홍동(정방수퍼 인근),50130105,18,33.248633050476,126.56776621484,50
3,제주특별자치도 제주시1,제주특별자치도 제주시 이도이동(제주시청서측 인근),50110104,32,33.499508803489,126.529930417955,70
4,제주특별자치도 제주시2,제주특별자치도 제주시 노형동(노형우체국남측 인근),50110122,27,33.486727491981,126.478610355385,74
5,제주특별자치도 제주시3,제주특별자치도 제주시 이도이동(광양사거리 인근),50110104,23,33.500730429067,126.529106761269,56
6,제주특별자치도 서귀포시1,제주특별자치도 서귀포시 서홍동(한남투자 인근),50130106,24,33.252711736758,126.561123952609,94
7,제주특별자치도 서귀포시2,제주특별자치도 서귀포시 서귀동(김약국 인근),50130101,23,33.247607009457,126.561943147759,50
8,제주특별자치도 서귀포시3,제주특별자치도 서귀포시 서귀동(뉴본아파트 인근),50130101,14,33.24738788964,126.568641657188,34
9,제주특별자치도 제주시1,제주특별자치도 제주시 연동(신광사거리 인근),50110137,28,33.493792584861,126.492189387132,94
10,제주특별자치도 제주시2,제주특별자치도 제주시 연동(신제주로타리서측 인근),50110137,28,33.489762055475,126.495873606483,86
11,제주특별자치도 제주시3,제주특별자치도 제주시 노형동(노형오거리 인근),50110122,27,33.486000148189,126.479550199084,72
12,제주특별자치도 서귀포시1,제주특별자치도 서귀포시 서홍동(중앙로터리 인근),5013010100,31,33.252711736758,126.561123953509,86
13,제주특별자치도 서귀포시2,제주특별자치도 서귀포시 서귀동(중정로52 인근),5013010100,27,33.247607009457,126.561943147759,60
14,제주특별자치도 서귀포시3,제주특별자치도 서귀포시 동홍동(동홍동코아루오션뷰앞 인근),5013010500,12,33.249551327533,126.571265834851,32
15,제주특별자치도 제주시1,제주특별자치도 제주시 이도이동(광양사거리 인근),5011010400,35,33.500730429067,126.529106763068,92
16,제주특별자치도 제주시2,제주특별자치도 제주시 연동(롯데시티호텔 인근),5011012200,30,33.490077865902,126.486557979968,90
17,제주특별자치도 제주시3,제주특별자치도 제주시 용담이동(공항입구교차로 인근),5011010900,25,33.505477929464,126.496260105421,90
18,제주특별자치도 서귀포시1,제주특별자치도 서귀포시 서홍동(중앙로터리 인근),5013010100,32,33.25320031954,126.561048673059,90
19,제주특별자치도 서귀포시2,제주특별자치도 서귀포시 서귀동(천지동사무소앞 인근),5013010100,17,33.247590631903,126.561546853406,42
20,제주특별자치도 서귀포시3,제주특별자치도 서귀포시 토평동(온누리부동산 인근),5013010500,12,33.254215878061,126.576890077116,50
21,제주특별자치도 제주시1,제주특별자치도 제주시 연동(현대자동차제주지점 인근),5011013700,32,33.489762055475,126.495873606483,90
22,제주특별자치도 제주시2,제주특별자치도 제주시 이도이동(광양사거리 인근),5011010400,29,33.500730429067,126.529106761269,70
23,제주특별자치도 제주시3,제주특별자치도 제주시 이도이동(이도광장교차로 인근),5011010400,27,33.494762710532,126.533654325288,76
24,제주특별자치도 서귀포시1,제주특별자치도 서귀포시 서홍동(중앙로터리 인근),5013010100,46,33.25320031954,126.561048673059,134
25,제주특별자치도 서귀포시2,제주특별자치도 서귀포시 서귀동(서귀동336 인근),5013010100,15,33.24945576827,126.561614689268,32
26,제주특별자치도 서귀포시3,제주특별자치도 서귀포시 동홍동(서귀포명성교회 인근),5013010500,14,33.257376877242,126.5735296155,42
27,제주특별자치도 제주시1,제주특별자치도 제주시 용담이동(속성변화점 인근),5011010900,34,33.505477928565,126.496260105421,148
28,제주특별자치도 제주시2,제주특별자치도 제주시 연동(카페베네제주연동점 인근),5011013700,33,33.485794271789,126.493177792422,78
29,제주특별자치도 제주시3,제주특별자치도 제주시 이도이동(광양사거리 인근),5011010400,32,33.500730429067,126.529106761269,68
