,코드,시,읍면동
0,5011025000,제주시,한림읍
1,5011025300,제주시,애월읍
2,5011025600,제주시,구좌읍
3,5011025900,제주시,조천읍
4,5011031000,제주시,한경면
5,5011032000,제주시,추자면
6,5011033000,제주시,우도면
7,5011051000,제주시,일도1동
8,5011052000,제주시,일도2동
9,5011053000,제주시,이도1동
10,5011054000,제주시,이도2동
11,5011055000,제주시,삼도1동
12,5011056000,제주시,삼도2동
13,5011057000,제주시,용담1동
14,5011058000,제주시,용담2동
15,5011059000,제주시,건입동
16,5011060000,제주시,화북동
17,5011061000,제주시,삼양동
18,5011062000,제주시,봉개동
19,5011063000,제주시,아라동
20,5011064000,제주시,오라동
21,5011065000,제주시,연동
22,5011066000,제주시,노형동
23,5011067000,제주시,외도동
24,5011068000,제주시,이호동
25,5011069000,제주시,도두동
27,5013025000,서귀포시,대정읍
28,5013025300,서귀포시,남원읍
29,5013025900,서귀포시,성산읍
30,5013031000,서귀포시,안덕면
31,5013032000,서귀포시,표선면
32,5013051000,서귀포시,송산동
33,5013052000,서귀포시,정방동
34,5013053000,서귀포시,중앙동
35,5013054000,서귀포시,천지동
36,5013055000,서귀포시,효돈동
37,5013056000,서귀포시,영천동
38,5013057000,서귀포시,동홍동
39,5013058000,서귀포시,서홍동
40,5013059000,서귀포시,대륜동
41,5013060000,서귀포시,대천동
42,5013061000,서귀포시,중문동
43,5013062000,서귀포시,예래동
