,방문인구,코드,시,읍면동
0,2203556,50110590,제주시,건입동
1,2607240,50110256,제주시,구좌읍
2,2385740,50130253,서귀포시,남원읍
3,6985674,50110660,제주시,노형동
4,2575862,50130590,서귀포시,대륜동
5,2201662,50130250,서귀포시,대정읍
6,1907633,50130600,서귀포시,대천동
7,1080250,50110690,제주시,도두일동
8,2454975,50130570,서귀포시,동홍동
9,1462767,50110620,제주시,봉개동
10,2067132,50110550,제주시,삼도일동
11,1794105,50110560,제주시,삼도이동
12,1724516,50110610,제주시,삼양일동
13,1223677,50130580,서귀포시,서홍동
14,2736288,50130259,서귀포시,성산읍
15,533524,50130510,서귀포시,송산동
16,4588401,50110630,제주시,아라일동
17,3419742,50130310,서귀포시,안덕면
18,7107953,50110253,제주시,애월읍
19,6856920,50110650,제주시,연동
20,1272559,50130560,서귀포시,영천동
21,1905753,50130620,서귀포시,예래동
22,3923939,50110640,제주시,오라일동
23,1639711,50110670,제주시,외도일동
24,1392153,50110570,제주시,용담일동
25,3888666,50110580,제주시,용담이동
26,370829,50110330,제주시,우도면
27,2970585,50110530,제주시,이도일동
28,8112160,50110540,제주시,이도이동
29,1028430,50110680,제주시,이호일동
30,836439,50110510,제주시,일도일동
31,3472541,50110520,제주시,일도이동
32,1184142,50130520,서귀포시,정방동
33,3991923,50110259,제주시,조천읍
34,1750285,50130610,서귀포시,중문동
35,1440207,50130530,서귀포시,중앙동
36,607789,50130540,서귀포시,천지동
37,401933,50110320,제주시,추자면
38,1825319,50130320,서귀포시,표선면
39,1199048,50110310,제주시,한경면
40,3012252,50110250,제주시,한림읍
41,3258507,50110600,제주시,화북일동
42,574818,50130550,서귀포시,효돈동
43,1639711,50110670,제주시,외도이동
44,1028430,50110680,제주시,이호이동
45,1080250,50110690,제주시,도두이동
46,3923939,50110640,제주시,오라이동
47,4588401,50110630,제주시,아라이동
48,1724516,50110610,제주시,삼양이동
49,3258507,50110600,제주시,화북이동
