관광지명,주소,분류,합산 검색 수,위도,경도
제주국제공항,제주 제주시 공항로 2,교통시설,714118.0,33.50707105,126.4916441196128
서귀포매일올레시장,제주 서귀포시 중앙로62번길 18,시장,254315.0,33.2507805,126.5643201
함덕해수욕장,제주 제주시 조함해안로 525,자연경관(하천/해양),190046.5,33.5513091,126.6459779
협재해수욕장,제주 제주시,자연경관(하천/해양),186280.5,33.3939924,126.5626653
성산일출봉,제주 서귀포시 일출로 284-12,자연경관(산),177637.0,33.4621467,126.9364271
섭지코지,제주 서귀포시 섭지코지로 107,기타관광,115200.0,33.4305536,126.9278245
이호테우해변,제주 제주시,자연경관(하천/해양),123347.5,33.3939924,126.5626653
오설록티뮤지엄,제주 서귀포시 신화역사로 15,전시시설,108731.5,33.305894,126.28942
한라산둘레길사려니숲길,제주 제주시,기타레저스포츠,104664.0,33.3939924,126.5626653
아르떼뮤지엄제주,제주 제주시 어림비로 478,전시시설,112589.5,33.4187001,126.3175522
곽지해수욕장,제주 제주시,자연경관(하천/해양),105556.0,33.3939924,126.5626653
이마트서귀포점,제주 서귀포시 일주동로 9209,대형마트,100695.0,33.248332899999994,126.50908526737112
비자림,제주 제주시 비자숲길 55,자연공원,91471.5,33.4944647,126.8113049
새별오름,제주 제주시,자연경관(산),62323.5,33.3939924,126.5626653
쇠소깍,제주 서귀포시 쇠소깍로 128,기타관광,75320.5,33.2522464,126.6230135
금오름,제주 제주시,자연경관(산),63180.0,33.3939924,126.5626653
아쿠아플라넷제주,제주 서귀포시 섭지코지로 93-15,테마공원,87162.5,33.434451,126.9261159
천지연폭포,제주 서귀포시 서문서로 1-1,자연경관(산),71475.5,33.2478279,126.5560823
주상절리대,제주 서귀포시 이어도로 36-3,기타관광,77401.0,33.2428198,126.4254269
금능해수욕장,제주 제주시 금능길 119-1,자연경관(하천/해양),77484.0,33.3866384,126.2247287
이마트신제주점,제주 제주시 1100로 3348,대형마트,74443.0,33.391343,126.48323
카멜리아힐,제주 서귀포시 병악로 166,테마공원,73734.5,33.2908264,126.3699237
신창풍차해안도로,제주 제주시,데이트코스,75319.5,33.3939924,126.5626653
성산포종합여객터미널,제주 서귀포시 성산등용로 130-21,교통시설,72943.5,33.4719573,126.9331688
김녕해수욕장,제주 제주시 해맞이해안로 7-6,자연경관(하천/해양),74076.5,33.5324596,126.8480392
