stationId,서귀포매일올레시장,함덕해수욕장,협재해수욕장,성산일출봉,섭지코지,이호테우해변,오설록티뮤지엄,한라산둘레길사려니숲길,아르떼뮤지엄제주,곽지해수욕장,비자림,새별오름,쇠소깍,금오름,아쿠아플라넷제주,천지연폭포,주상절리대,금능해수욕장,카멜리아힐,신창풍차해안도로,김녕해수욕장,용두암,용머리해안,월정리해변,스누피가든,9.81파크,정방폭포,중문색달해변,하귀애월해안도로,표선해수욕장,도두동무지개해안도로,광치기해변,성산항,빛의벙커,사계해수욕장,만장굴,산방산,산굼부리,한담해안산책로,뽀로로&타요테마파크제주,세화해수욕장,제주절물자연휴양림,천제연폭포,제주민속오일시장,휴애리자연생활공원,모슬포항,송악산둘레길,제주항공우주박물관,한라수목원,수목원길야시장,한림공원,중문관광단지,삼양해수욕장,보롬왓,판포포구,남원큰엉,안돌오름,노형수퍼마?,산방산탄산온천,운진항,헬로키티아일랜드,제주항제6부두,제주민속촌,약천사,녹산로유채꽃도로,동문재래시장,에코랜드테마파크,제주신화월드
406001168,1331,2224,3652,590,500,3737,3546,1983,3672,3689,932,3605,985,3593,521,1435,3318,3650,3510,2433,958,3436,3430,1370,599,3643,1262,3367,3704,97,3668,581,2543,534,3441,1383,3441,1007,3702,3516,922,2027,3365,3646,905,3454,2596,3532,3595,3595,3667,3326,2438,361,3632,424,919,3720,3473,3419,3545,3073,104,3279,2615,3306,1538,3539
406001167,1332,2226,3660,588,499,3739,3548,1985,3673,3690,933,3607,986,3595,520,1439,3319,3652,3513,2434,959,3440,3431,1372,603,3648,1263,3368,3705,96,3669,579,2547,533,3442,1385,3442,1009,3703,3519,923,2029,3368,3649,907,3455,2599,3535,3596,3596,3671,3331,2439,364,3634,427,920,3722,3475,3422,3546,3080,101,3280,2616,3312,1543,3543
405000186,3075,147,2733,1252,1337,1250,2940,580,2525,2331,1034,2870,2594,2877,1314,3172,3227,2754,3085,247,960,830,3117,709,1287,2772,3052,3194,2144,1874,1181,1274,199,1303,3101,679,3098,720,2221,3076,1029,464,3197,1186,2111,3092,197,2968,1216,1216,2609,3225,247,1430,2842,2135,1091,1252,3090,3115,2955,452,1888,3271,186,769,529,2955
405000185,3078,140,2739,1251,1326,1252,2943,574,2535,2337,1031,2874,2590,2878,1309,3174,3232,2761,3086,249,952,841,3122,704,1282,2775,3051,3196,2149,1870,1186,1261,201,1298,3106,677,3105,709,2232,3082,1023,460,3200,1188,2108,3095,198,2973,1220,1220,2615,3229,248,1422,2843,2126,1082,1260,3092,3118,2961,456,1883,3272,189,774,522,2956
406001176,25,2967,2454,2400,2232,2857,1684,2256,2626,2691,2598,2318,337,2168,2254,14,591,2419,1336,3569,2658,2747,1225,2798,2419,2513,58,704,2818,1499,2845,2371,3748,2276,1269,2776,1273,2548,2788,1414,2610,2546,654,2759,518,1365,3787,1616,2573,2573,2569,604,3590,2337,2318,720,2550,2726,1370,1254,1657,2807,1479,466,3772,2753,2661,1646
406000467,29,2981,2452,2408,2240,2871,1681,2268,2625,2692,2606,2315,346,2163,2265,11,586,2416,1326,3580,2671,2761,1219,2807,2437,2514,64,697,2822,1506,2861,2378,3763,2282,1262,2785,1265,2555,2791,1406,2621,2555,644,2780,526,1358,3802,1614,2589,2589,2567,596,3601,2356,2313,724,2556,2740,1361,1252,1651,2825,1484,456,3784,2765,2675,1643
406000324,24,2963,2453,2399,2230,2853,1683,2253,2624,2690,2596,2316,336,2167,2253,13,592,2418,1333,3568,2655,2742,1226,2797,2418,2512,60,705,2817,1498,2843,2370,3746,2275,1270,2774,1274,2546,2785,1412,2609,2545,653,2752,517,1367,3784,1615,2570,2570,2568,605,3589,2336,2317,718,2549,2721,1371,1255,1655,2803,1478,467,3770,2751,2658,1645
406001837,1304,2284,3653,602,526,3747,3543,2012,3675,3694,965,3603,965,3590,543,1403,3302,3647,3507,2462,994,3483,3419,1436,629,3646,1242,3357,3709,103,3689,596,2592,557,3432,1440,3429,1051,3707,3515,942,2064,3344,3662,895,3443,2628,3524,3604,3604,3672,3313,2471,408,3627,405,980,3732,3459,3409,3541,3133,106,3262,2650,3360,1618,3536
406000607,1305,2281,3651,601,525,3746,3542,2011,3674,3693,963,3602,966,3589,542,1404,3301,3646,3506,2460,992,3482,3418,1434,628,3644,1243,3354,3708,104,3688,595,2591,556,3431,1439,3428,1049,3706,3514,941,2061,3343,3661,894,3442,2627,3523,3603,3603,3670,3312,2469,407,3626,406,978,3730,3458,3408,3540,3131,107,3261,2649,3359,1614,3535
406001894,835,2050,1169,2633,2647,1328,1023,1694,854,998,2572,362,1015,969,2641,809,659,1197,536,2391,2578,1557,1004,2527,2592,471,868,631,953,2363,1366,2634,2333,2638,1029,2511,1059,2452,1035,483,2600,1725,571,1348,1017,1100,2322,1011,1230,1230,1104,634,2398,2546,1207,1484,2534,1235,1021,1109,740,1617,2352,643,2279,1583,2320,961
