읍면동명,방문인구
건입동,2203556.548374204
구좌읍,2607240.0213333336
남원읍,2385740.7955205482
노형동,6985674.950387454
대륜동,2575862.856913738
대정읍,2201662.4701644043
대천동,1907633.2699999998
도두동,1080250.564877193
동홍동,2454975.431267496
봉개동,1462767.7468050458
삼도1동,2067132.516955665
삼도2동,1794105.1744335878
삼양동,1724516.1901734513
서홍동,1223677.7963438043
성산읍,2736288.9266763926
송산동,533524.1697620357
아라동,4588401.311260061
안덕면,3419742.4243042255
애월읍,7107953.501928282
연동,6856920.772547803
영천동,1272559.2505218254
예래동,1905753.2778113822
오라동,3923939.760675851
외도동,1639711.730394453
용담1동,1392153.7292168676
용담2동,3888666.579502591
우도면,370829.2317805825
이도1동,2970585.1439292603
이도2동,8112160.42105791
이호동,1028430.5163523421
일도1동,836439.316897651
일도2동,3472541.7122446154
정방동,1184142.1701959248
조천읍,3991923.784835065
중문동,1750285.3415828573
중앙동,1440207.696086207
천지동,607789.9123653295
추자면,401933.4964398827
표선면,1825319.091432229
한경면,1199048.083385208
한림읍,3012252.1960372496
화북동,3258507.606783784
효돈동,574818.7037104073
