년월,시도명,읍면동명,업종명,성별,이용자수,이용금액,거주인구,근무인구,방문인구,데이터기준일자
2020-01-01,서귀포시,남원읍,골프장 운영업,남성,1980,297727940,4869067.386,444319.725,3304302.997,2020-12-15
2020-01-01,제주시,외도동,수산물 소매업,남성,75,4657000,3651449.212,197093.412,1837113.079,2020-12-15
2020-01-01,제주시,오라동,중식 음식점업,남성,283,9340000,4759442.058,595571.433,4993516.699,2020-12-15
2020-01-01,제주시,오라동,자동차 임대업,남성,293,16523986,4759442.058,595571.433,4993516.699,2020-12-15
2020-01-01,제주시,오라동,스포츠 및 레크레이션 용품 임대업,남성,407,37918500,4759442.058,595571.433,4993516.699,2020-12-15
2020-01-01,제주시,오라동,한식 음식점업,남성,9694,285666860,4759442.058,595571.433,4993516.699,2020-12-15
2020-01-01,제주시,오라동,체인화 편의점,남성,8210,68812010,4759442.058,595571.433,4993516.699,2020-12-15
2020-01-01,제주시,오라동,차량용 주유소 운영업,남성,6245,315006743,4759442.058,595571.433,4993516.699,2020-12-15
2020-01-01,제주시,오라동,차량용 가스 충전업,남성,206,10271460,4759442.058,595571.433,4993516.699,2020-12-15
2020-01-01,제주시,오라동,화장품 및 방향제 소매업,남성,2,2280000,4759442.058,595571.433,4993516.699,2020-12-15
2020-01-01,제주시,오라동,골프장 운영업,여성,210,25657753,4863455.023,436228.947,4302135.458,2020-12-15
2020-01-01,제주시,오라동,일반유흥 주점업,남성,8,1510000,4759442.058,595571.433,4993516.699,2020-12-15
2020-01-01,제주시,오라동,육류 소매업,남성,292,25914740,4759442.058,595571.433,4993516.699,2020-12-15
2020-01-01,제주시,오라동,욕탕업,남성,20,206000,4759442.058,595571.433,4993516.699,2020-12-15
2020-01-01,제주시,오라동,여행사업,남성,4,3311320,4759442.058,595571.433,4993516.699,2020-12-15
2020-01-01,제주시,오라동,여관업,남성,195,23332750,4759442.058,595571.433,4993516.699,2020-12-15
2020-01-01,제주시,봉개동,차량용 가스 충전업,남성,25,1890000,1444043.74,314608.585,1770572.642,2020-12-15
2020-01-01,제주시,오라동,슈퍼마켓,남성,5076,145916624,4759442.058,595571.433,4993516.699,2020-12-15
2020-01-01,제주시,연동,"피자, 햄버거, 샌드위치 및 유사 음식점업",여성,1441,19073980,15596659.07,1862889.878,7404723.053,2020-12-15
2020-01-01,제주시,연동,한식 음식점업,여성,22668,881158445,15596659.07,1862889.878,7404723.053,2020-12-15
2020-01-01,제주시,연동,호텔업,여성,838,161671771,15596659.07,1862889.878,7404723.053,2020-12-15
2020-01-01,제주시,연동,화장품 및 방향제 소매업,여성,1769,72961230,15596659.07,1862889.878,7404723.053,2020-12-15
2020-01-01,제주시,오라동,골프장 운영업,남성,770,111150558,4759442.058,595571.433,4993516.699,2020-12-15
2020-01-01,제주시,오라동,과실 및 채소 소매업,남성,106,10875200,4759442.058,595571.433,4993516.699,2020-12-15
2020-01-01,제주시,오라동,관광 민예품 및 선물용품 소매업,여성,170,15600100,4863455.023,436228.947,4302135.458,2020-12-15
2020-01-01,제주시,오라동,관광 민예품 및 선물용품 소매업,남성,132,11134750,4759442.058,595571.433,4993516.699,2020-12-15
2020-01-01,제주시,오라동,기타 주점업,남성,21,6230000,4759442.058,595571.433,4993516.699,2020-12-15
2020-01-01,제주시,오라동,기타음식료품위주종합소매업,남성,46,2013040,4759442.058,595571.433,4993516.699,2020-12-15
2020-01-01,제주시,오라동,비알콜 음료점업,남성,2176,27435340,4759442.058,595571.433,4993516.699,2020-12-15
2020-01-01,제주시,오라동,빵 및 과자류 소매업,남성,610,16397000,4759442.058,595571.433,4993516.699,2020-12-15
2020-01-01,제주시,오라동,서양식 음식점업,남성,679,9180295,4759442.058,595571.433,4993516.699,2020-12-15
2020-01-01,제주시,오라동,그외 기타 종합 소매업,남성,1563,76116640,4759442.058,595571.433,4993516.699,2020-12-15
2020-01-01,제주시,오라동,기타 외국식 음식점업,남성,121,2013000,4759442.058,595571.433,4993516.699,2020-12-15
2020-01-01,제주시,연동,체인화 편의점,여성,33130,310311302,15596659.07,1862889.878,7404723.053,2020-12-15
2020-01-01,제주시,오라동,체인화 편의점,여성,3170,26597210,4863455.023,436228.947,4302135.458,2020-12-15
2020-01-01,제주시,오라동,기타음식료품위주종합소매업,여성,45,2044360,4863455.023,436228.947,4302135.458,2020-12-15
2020-01-01,제주시,외도동,기타음식료품위주종합소매업,남성,149,7112740,3651449.212,197093.412,1837113.079,2020-12-15
2020-01-01,제주시,외도동,기타 주점업,남성,30,5965000,3651449.212,197093.412,1837113.079,2020-12-15
2020-01-01,제주시,연동,차량용 주유소 운영업,여성,3345,171620058,15596659.07,1862889.878,7404723.053,2020-12-15
2020-01-01,제주시,외도동,서양식 음식점업,남성,941,24350300,3651449.212,197093.412,1837113.079,2020-12-15
2020-01-01,제주시,외도동,빵 및 과자류 소매업,남성,1154,17554940,3651449.212,197093.412,1837113.079,2020-12-15
2020-01-01,제주시,외도동,비알콜 음료점업,남성,1244,10033800,3651449.212,197093.412,1837113.079,2020-12-15
2020-01-01,제주시,외도동,마사지업,남성,3,250000,3651449.212,197093.412,1837113.079,2020-12-15
2020-01-01,제주시,외도동,기타 외국식 음식점업,남성,418,8739700,3651449.212,197093.412,1837113.079,2020-12-15
2020-01-01,제주시,오라동,차량용 가스 충전업,여성,183,9098380,4863455.023,436228.947,4302135.458,2020-12-15
2020-01-01,제주시,오라동,차량용 주유소 운영업,여성,3508,170860941,4863455.023,436228.947,4302135.458,2020-12-15
2020-01-01,제주시,외도동,그외 기타 종합 소매업,남성,4,1120000,3651449.212,197093.412,1837113.079,2020-12-15
2020-01-01,제주시,외도동,과실 및 채소 소매업,남성,120,19755300,3651449.212,197093.412,1837113.079,2020-12-15
2020-01-01,제주시,외도동,건강보조식품 소매업,남성,15,2117620,3651449.212,197093.412,1837113.079,2020-12-15
2020-01-01,제주시,오라동,화장품 및 방향제 소매업,여성,15,11659500,4863455.023,436228.947,4302135.458,2020-12-15
2020-01-01,제주시,오라동,한식 음식점업,여성,5248,170311251,4863455.023,436228.947,4302135.458,2020-12-15
2020-01-01,제주시,오라동,과실 및 채소 소매업,여성,146,14205500,4863455.023,436228.947,4302135.458,2020-12-15
2020-01-01,제주시,오라동,자동차 임대업,여성,168,8243090,4863455.023,436228.947,4302135.458,2020-12-15
2020-01-01,제주시,오라동,비알콜 음료점업,여성,2329,34432340,4863455.023,436228.947,4302135.458,2020-12-15
2020-01-01,제주시,오라동,빵 및 과자류 소매업,여성,966,24586650,4863455.023,436228.947,4302135.458,2020-12-15
2020-01-01,제주시,오라동,서양식 음식점업,여성,973,14725715,4863455.023,436228.947,4302135.458,2020-12-15
2020-01-01,제주시,오라동,중식 음식점업,여성,115,3746000,4863455.023,436228.947,4302135.458,2020-12-15
2020-01-01,제주시,오라동,그외 기타 종합 소매업,여성,1412,70291000,4863455.023,436228.947,4302135.458,2020-12-15
2020-01-01,제주시,오라동,수산물 소매업,여성,15,1273000,4863455.023,436228.947,4302135.458,2020-12-15
2020-01-01,제주시,오라동,기타 외국식 음식점업,여성,24,444000,4863455.023,436228.947,4302135.458,2020-12-15
2020-01-01,제주시,오라동,여관업,여성,46,3275024,4863455.023,436228.947,4302135.458,2020-12-15
2020-01-01,제주시,오라동,욕탕업,여성,6,37500,4863455.023,436228.947,4302135.458,2020-12-15
2020-01-01,제주시,오라동,육류 소매업,여성,221,22927390,4863455.023,436228.947,4302135.458,2020-12-15
2020-01-01,제주시,오라동,일식 음식점업,여성,25,4418100,4863455.023,436228.947,4302135.458,2020-12-15
2020-01-01,제주시,오라동,슈퍼마켓,여성,4214,159537384,4863455.023,436228.947,4302135.458,2020-12-15
2020-01-01,제주시,오라동,스포츠 및 레크레이션 용품 임대업,여성,421,34199700,4863455.023,436228.947,4302135.458,2020-12-15
2020-01-01,제주시,외도동,슈퍼마켓,남성,8563,193719200,3651449.212,197093.412,1837113.079,2020-12-15
2020-01-01,제주시,오라동,여행사업,여성,3,1709990,4863455.023,436228.947,4302135.458,2020-12-15
2020-01-01,제주시,오라동,수산물 소매업,남성,27,686800,4759442.058,595571.433,4993516.699,2020-12-15
2020-01-01,제주시,연동,차량용 가스 충전업,여성,19,1191580,15596659.07,1862889.878,7404723.053,2020-12-15
2020-01-01,제주시,연동,중식 음식점업,남성,2943,102070130,14416816.43,1799801.492,8566799.066,2020-12-15
2020-01-01,제주시,연동,서양식 음식점업,남성,4101,150224056,14416816.43,1799801.492,8566799.066,2020-12-15
