법정동코드,도,시,읍면동,
5011025000,제주특별자치도,제주시,한림읍,20060701
5011025300,제주특별자치도,제주시,애월읍,20060701
5011025600,제주특별자치도,제주시,구좌읍,20060701
5011025900,제주특별자치도,제주시,조천읍,20060701
5011031000,제주특별자치도,제주시,한경면,20060701
5011032000,제주특별자치도,제주시,추자면,20060701
5011033000,제주특별자치도,제주시,우도면,20060701
5011051000,제주특별자치도,제주시,일도1동,20060701
5011052000,제주특별자치도,제주시,일도2동,20060701
5011053000,제주특별자치도,제주시,이도1동,20060701
5011054000,제주특별자치도,제주시,이도2동,20060701
5011055000,제주특별자치도,제주시,삼도1동,20060701
5011056000,제주특별자치도,제주시,삼도2동,20060701
5011057000,제주특별자치도,제주시,용담1동,20060701
5011058000,제주특별자치도,제주시,용담2동,20060701
5011059000,제주특별자치도,제주시,건입동,20060701
5011060000,제주특별자치도,제주시,화북동,20060701
5011061000,제주특별자치도,제주시,삼양동,20060701
5011062000,제주특별자치도,제주시,봉개동,20060701
5011063000,제주특별자치도,제주시,아라동,20060701
5011064000,제주특별자치도,제주시,오라동,20060701
5011065000,제주특별자치도,제주시,연동,20060701
5011066000,제주특별자치도,제주시,노형동,20060701
5011067000,제주특별자치도,제주시,외도동,20060701
5011068000,제주특별자치도,제주시,이호동,20060701
5011069000,제주특별자치도,제주시,도두동,20060701
5013000000,제주특별자치도,서귀포시,,20060701
5013025000,제주특별자치도,서귀포시,대정읍,20060701
5013025300,제주특별자치도,서귀포시,남원읍,20060701
5013025900,제주특별자치도,서귀포시,성산읍,20060701
5013031000,제주특별자치도,서귀포시,안덕면,20060701
5013032000,제주특별자치도,서귀포시,표선면,20060701
5013051000,제주특별자치도,서귀포시,송산동,20060701
5013052000,제주특별자치도,서귀포시,정방동,20060701
5013053000,제주특별자치도,서귀포시,중앙동,20060701
5013054000,제주특별자치도,서귀포시,천지동,20060701
5013055000,제주특별자치도,서귀포시,효돈동,20060701
5013056000,제주특별자치도,서귀포시,영천동,20060701
5013057000,제주특별자치도,서귀포시,동홍동,20060701
5013058000,제주특별자치도,서귀포시,서홍동,20060701
5013059000,제주특별자치도,서귀포시,대륜동,20060701
5013060000,제주특별자치도,서귀포시,대천동,20060701
5013061000,제주특별자치도,서귀포시,중문동,20060701
5013062000,제주특별자치도,서귀포시,예래동,20060701
