구분연월,행태별 - 개별여행,행태별 - 부분패키지,행태별 - 패키지,목적별 - 레저스포츠,목적별 - 회의및업무,목적별 - 휴양및관람,목적별 - 친지방문,목적별 - 교육여행,목적별 - 기타방문,데이터기준일자
2018-01,931530,83664,29762,126413,78743,757889,75741,234,2936,2018-12-31
2018-02,731347,130051,31465,103573,54538,681718,50344,0,2690,2018-12-31
2018-03,833785,152597,47396,94279,97756,758206,54840,18785,9912,2018-12-31
2018-04,716499,289775,218246,180153,175460,772325,28582,62892,5109,2018-12-31
2018-05,815996,198131,191777,149737,52129,823440,41241,73417,65940,2018-12-31
2018-06,935068,196771,46173,161547,54838,870959,77419,10689,2560,2018-12-31
2018-07,922316,157426,43148,124283,61369,867169,64040,3123,2906,2018-12-31
2018-08,1038643,78686,29427,136388,36720,949466,15737,3199,5246,2018-12-31
2018-09,880738,152195,65658,64870,69860,858283,67365,25738,12475,2018-12-31
2018-10,868257,123683,136307,136051,121210,700049,84105,69517,17315,2018-12-31
2018-11,920287,74009,41735,131927,41832,769052,80445,12775,0,2018-12-31
2018-12,799716,103493,73371,181896,21955,708768,37634,1237,25090,2018-12-31
