구분연월,행태별 (개별여행),행태별(부분패키지),행태별(패키지),목적별(레저스포츠),목적별(회의및업무),목적별(휴양및관람),목적별(친지방문),목적별(교육여행),목적별(기타방문),데이터기준일자
2020-01,1028221,54338,21879,120890,40753,823210,105958,144,13483,2020-12-31
2020-02,581380,15921,2274,30042,76200,408295,70514,0,14524,2020-12-31
2020-03,468096,7945,1135,27280,54477,324593,56747,0,14079,2020-12-31
2020-04,533225,5400,2474,28394,53859,381297,67017,0,10532,2020-12-31
2020-05,750271,13458,1887,57543,57824,584612,55751,120,9766,2020-12-31
2020-06,846253,8157,6118,27181,59140,681136,87691,0,5380,2020-12-31
2020-07,968395,12874,6825,49742,68728,749450,109765,0,10409,2020-12-31
2020-08,1077542,22866,26689,47232,45202,999753,26589,100,8221,2020-12-31
2020-09,707026,13942,5201,52730,39936,547341,74683,0,11479,2020-12-31
2020-10,1028256,24453,19746,140142,112996,704112,101296,0,13909,2020-12-31
2020-11,1060958,18842,58569,145018,63142,827550,87984,82,14593,2020-12-31
2020-12,605225,9259,8578,45276,52828,450468,52927,0,21563,2020-12-31
