"구분별(1)",구분별(2),2015,2015,2015,2015,2015,2015,2015,2015,2015,2015
"구분별(1)",구분별(2),교통 이용 만족도(시외버스)(이용하지않음제외),교통 이용 만족도(시외버스)(이용하지않음제외),교통 이용 만족도(시외버스)(이용하지않음제외),교통 이용 만족도(시외버스)(이용하지않음제외),교통 이용 만족도(시외버스)(이용하지않음제외),교통 이용 만족도(시외버스)(이용하지않음제외),종합평가,종합평가,종합평가,5점 평균 (점)
"구분별(1)",구분별(2),사례수 (명),매우 불만족 (%),약간 불만족 (%),보통이다 (%),약간 만족 (%),매우 만족 (%),긍정 (%),보통 (%),부정 (%),소계
"분류전체",제주특별자치도,5785,4.3,15.5,49.8,24.7,5.6,30.3,49.8,19.9,3.12
"시도별",제주시 전체,3623,4.4,17,51,23.1,4.4,27.6,51,21.4,3.06
"시도별",서귀포시 전체,2162,4.2,12,47,28.5,8.3,36.8,47,16.2,3.25
"읍면별",제주시 동부,2457,3.9,17.2,51.7,22.9,4.3,27.2,51.7,21.1,3.06
"읍면별",제주시 읍면부,1166,6.2,16.3,48.6,23.8,5,28.9,48.6,22.5,3.05
"읍면별",서귀포시 동부,1178,3.6,12.2,44.9,30.7,8.6,39.2,44.9,15.9,3.28
"읍면별",서귀포시 읍면부,984,4.8,11.7,49.5,25.9,8,33.9,49.5,16.5,3.21
"소득별",100만원 미만,545,3.4,8.3,46.8,34.3,7.3,41.5,46.8,11.7,3.34
"소득별",100~200만원 미만,637,2.3,14.5,44.9,29.2,9,38.3,44.9,16.8,3.28
"소득별",200~300만원 미만,682,5.7,15,49.4,23.8,6.1,29.9,49.4,20.7,3.1
"소득별",300~400만원 미만,478,4.8,18.5,48.5,22.4,5.8,28.2,48.5,23.3,3.06
"소득별",400~500만원 미만,309,5.7,15.8,45.1,28.9,4.4,33.4,45.1,21.5,3.11
"소득별",500~600만원 미만,149,4.5,17.9,48.4,26.3,2.9,29.2,48.4,22.5,3.05
"소득별",600~700만원 미만,86,3.1,14.5,58.6,21.4,2.4,23.8,58.6,17.5,3.06
"소득별",700만원 이상,114,11.8,12.6,47.9,21.1,6.6,27.7,47.9,24.4,2.98
"주거형태별",단독주택,3393,4,14.5,48.7,26.8,6,32.8,48.7,18.5,3.16
"주거형태별",아파트,1588,5,16.6,48.8,24.7,4.9,29.6,48.8,21.6,3.08
"주거형태별",다세대주택,303,6.4,20.6,43.7,21.5,7.8,29.3,43.7,27,3.04
"주거형태별",연립주택,429,2.4,16.6,61.6,16.2,3.2,19.4,61.6,19,3.01
"주거형태별",기타,72,7.3,4.7,61.1,14.8,12.2,27,61.1,11.9,3.2
"주거점유  형태별",자기집,4094,4,14.8,49.4,25.8,6,31.8,49.4,18.7,3.15
"주거점유  형태별",전세,186,7,17.5,41,31.2,3.3,34.4,41,24.5,3.06
"주거점유  형태별",보증금 있는 월세,903,4,18.4,54.6,18.1,4.9,23,54.6,22.4,3.01
"주거점유  형태별",보증금 없는 월세,325,5.3,14.9,47.8,28,3.9,31.9,47.8,20.2,3.1
"주거점유  형태별",무상 및 기타,277,7.7,14.3,45.9,26.3,5.7,32.1,45.9,22,3.08
"성 별",남자,2703,4.2,15.3,50,24.9,5.6,30.5,50,19.5,3.12
"성 별",여자,3082,4.5,15.7,49.6,24.6,5.6,30.1,49.6,20.2,3.11
"연령별",15~19세,343,3.6,15.1,49.9,24,7.4,31.4,49.9,18.7,3.16
"연령별",20~29세,453,4.7,17.7,54.7,19.6,3.3,22.8,54.7,22.5,2.99
"연령별",30~39세,776,7,20.3,51.8,17.4,3.4,20.8,51.8,27.4,2.9
"연령별",40~49세,1162,4.9,17.5,49.6,23,5,27.9,49.6,22.4,3.06
"연령별",50~59세,1064,3,14.8,50.8,25.1,6.3,31.4,50.8,17.8,3.17
"연령별",60세 이상,1987,2.8,9.5,44.3,35.4,8,43.4,44.3,12.3,3.36
"학력별",초등학교 졸업이하,1168,2.7,8.9,46.4,34,8,42,46.4,11.6,3.36
"학력별",중학교 졸업,610,3.1,11.3,45.4,31.3,8.9,40.2,45.4,14.3,3.32
"학력별",고등학교 졸업,1888,4.4,16.1,48.7,24.6,6.1,30.7,48.7,20.5,3.12
"학력별",대학교 졸업,1957,4.8,17.8,53,20.6,3.9,24.5,53,22.5,3.01
"학력별",대학원 졸업,162,8.1,18.5,44,25.8,3.6,29.4,44,26.6,2.98
"직업별",전문/관리,551,4.7,19.5,46.5,24.7,4.6,29.3,46.5,24.2,3.05
"직업별",사무직,409,6.8,18.9,52.3,17.3,4.7,22,52.3,25.7,2.94
"직업별",서비스/판매,1222,4.7,16.9,51.1,22,5.4,27.3,51.1,21.6,3.06
"직업별",농/림/어업,1007,3.7,11.1,46.6,31.5,7.1,38.6,46.6,14.8,3.27
"직업별",기능/단순노무,689,3,12.8,54,24.9,5.3,30.2,54,15.7,3.17
"직업별",학생,443,3.6,17.1,51.4,21.1,6.7,27.9,51.4,20.7,3.1
"직업별",주부,824,3.8,14.5,52.1,24.9,4.7,29.6,52.1,18.3,3.12
"직업별",무직/기타,640,4.7,12.3,42,34.9,6.1,41,42,17,3.25
"계층별",상,128,5.6,17,38.4,28.1,10.9,39,38.4,22.6,3.22
"계층별",중상,1498,4.2,12.5,47.4,28.2,7.8,35.9,47.4,16.7,3.23
"계층별",중하,2550,4,17.5,51.6,22.2,4.6,26.9,51.6,21.5,3.06
"계층별",하,1609,5,14.8,49.7,25.7,4.8,30.4,49.7,19.8,3.1
