"자료 : 제주특별자치도 자동차대여사업조합","","","","","","","","","","","","","","","","","","","","","","",""
"주 : 1) 등록대수는 전체(자료제출) 대수임","","","","2) 월 총 대여가능한 시간은 총업체(자료제출)로 평균산출한 시간임","","","","","","","     3) 월 총 대여시간은 총업체(자료제출)로 평균산출한 시간임","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","전월비","","","전년동월비","",""
"구분","등록대수","","","평균
가동율(%)","월 총 대여가능한 시간","","","","","월 총 대여시간","","","","","제출업체
/
총업체","","","월 총 대여시간","","","월 총 대여시간","",""
"","계","승용","승합","","계","승용","","승합","","계","승용","","승합","","","","","계","승용","승합","계","승용","승합"
"소계","244,505 ","222,602 ","21,903 ","","2,252,480 ","2,050,392 ","","202,088 ","","1,544,448 ","1,398,912 ","","145,536 ","","","","","","","","","",""
"평균","20,375 ","18,550 ","1,825 ","68.1 ","187,706.67 ","170,866.00 ","","16,840.67 ","","128,704 ","116,576.00 ","","12,128.00 ","","","","","","","","","",""
"2018. 01","17,882 ","16,287 ","1,595 ","62.3 ","179,267 ","163,231 ","","16,036 ","","121,000 ","108,947 ","","12,053 ","","74/115","","","","","","","",""
"2018. 02","19,373 ","17,505 ","1,868 ","63.3 ","180,814 ","163,380 ","","17,434 ","","114,363 ","103,721 ","","10,642 ","","72/115","","","-5.5 ","-4.8 ","-11.7 ","","",""
"2018. 03","18,600 ","16,806 ","1,794 ","65.4 ","197,554 ","178,499 ","","19,055 ","","129,146 ","115,091 ","","14,055 ","","70/115","","","12.9 ","11.0 ","32.1 ","","",""
"2018. 04","20,017 ","18,153 ","1,864 ","70.5 ","192,162 ","174,268 ","","17,894 ","","135,428 ","121,751 ","","13,677 ","","75/119","","","4.9 ","5.8 ","-2.7 ","","",""
"2018. 05","20,989 ","19,057 ","1,932 ","70.4 ","192,788 ","175,042 ","","17,746 ","","135,625 ","122,324 ","","13,301 ","","81/121","","","0.1 ","0.5 ","-2.7 ","","",""
"2018. 06","21,375 ","19,393 ","1,982 ","74.1 ","181,058 ","164,270 ","","16,788 ","","133,216 ","120,250 ","","12,966 ","","85/121","","","-1.8 ","-1.7 ","-2.5 ","","",""
"2018. 07","22,100 ","20,163 ","1,937 ","71.6 ","195,742 ","178,586 ","","17,156 ","","140,191 ","127,651 ","","12,540 ","","84/121","","","5.2 ","6.2 ","-3.3 ","","",""
"2018. 08","21,552 ","19,621 ","1,931 ","77.0 ","193,188 ","175,879 ","","17,309 ","","148,805 ","134,643 ","","14,162 ","","83/121","","","6.1 ","5.5 ","12.9 ","","",""
"2018. 09","21,341 ","19,451 ","1,890 ","68.3 ","187,384 ","170,789 ","","16,595 ","","128,020 ","116,809 ","","11,211 ","","82/124","","","-14.0 ","-13.2 ","-20.8 ","","",""
"2018. 10","21,187 ","19,419 ","1,768 ","65.0 ","194,606 ","178,367 ","","16,239 ","","126,605 ","115,211 ","","11,394 ","","81/124","","","-1.1 ","-1.4 ","1.6 ","","",""
"2018. 11","19,902 ","18,253 ","1,649 ","63.4 ","179,118 ","164,277 ","","14,841 ","","113,626 ","103,882 ","","9,744 ","","80/129","","","-10.3 ","-9.8 ","-14.5 ","","",""
"2018. 12","20,187 ","18,494 ","1,693 ","66.2 ","178,799 ","163,804 ","","14,995 ","","118,423 ","108,632 ","","9,791 ","","84/129","","","4.2 ","4.6 ","0.5 ","","",""
"구분","등록대수","","","평균
가동율(%)","월 총 대여가능한 시간","","","","","월 총 대여시간","","","","","제출업체
/
총업체","","","월 총 대여시간","","","월 총 대여시간","",""
"","계","승용","승합","","계","승용","","승합","","계","승용","","승합","","","","","계","승용","승합","계","승용","승합"
"소계","251,504 ","230,763 ","20,741 ","","1,968,306 ","1,805,847 ","","162,459 ","","1,455,470 ","1,326,489 ","","128,981 ","","","","","-5.8 ","-5.2 ","-11.4 ","","",""
"평균","20,959 ","19,230 ","1,728 ","74.0 ","164,025.50 ","150,487.25 ","","13,538.25 ","","121,289 ","110,540.75 ","","10,748.42 ","","","","","","","","","",""
"2019. 01","20,056 ","18,409 ","1,647 ","66.2 ","181,971 ","167,028 ","","14,943 ","","120,618 ","110,742 ","","9,876 ","","82/129","","","1.9 ","1.9 ","0.9 ","-0.3 ","1.6 ","-18.1 "
"2019. 02","20,949 ","19,238 ","1,711 ","71.4 ","153,019 ","140,521 ","","12,498 ","","109,299 ","100,314 ","","8,985 ","","92/128","","","-9.4 ","-9.4 ","-9.0 ","-4.4 ","-3.3 ","-15.6 "
"2019. 03","21,094 ","19,392 ","1,702 ","67.6 ","166,957 ","153,486 ","","13,471 ","","113,015 ","103,038 ","","9,977 ","","94/129","","","3.4 ","2.7 ","11.0 ","-12.5 ","-10.5 ","-29.0 "
