구분,노선번호,노선,비고,데이터기준일자
읍면지선버스,721-1,성읍문화마을 ↔ 섭지코지 ↔ 고성리(구.한국문류),없음,2022-07-18
읍면지선버스,721-2,성읍문화마을 ↔ 섭지코지 ↔ 고성리(구.한국문류),없음,2022-07-18
읍면지선버스,721-3,성읍문화마을 ↔ 섭지코지 ↔ 고성리(구.한국문류),없음,2022-07-18
읍면지선버스,722-1,성읍문화마을 ↔ 온평초등학교 ↔ 고성리(구.한국문류),없음,2022-07-18
읍면지선버스,722-2,성읍문화마을 ↔ 온평초등학교 ↔ 고성리(구.한국문류),없음,2022-07-18
읍면지선버스,731-1,성읍문화마을 ↔ 하천하동 ↔ 표선(제주민속촌),없음,2022-07-18
읍면지선버스,731-2,성읍문화마을 ↔ 하천하동 ↔ 표선(제주민속촌),없음,2022-07-18
읍면지선버스,732-1,성읍문화마을 ↔ 세화1리 ↔ 표선(제주민속촌),없음,2022-07-18
읍면지선버스,732-2,표선생활체육관 → 두수동 → 표선생활체육관,순환,2022-07-18
읍면지선버스,732-3,표선(제주민속촌) ↔ 토산1리사무소,없음,2022-07-18
읍면지선버스,741-1,남원생활체육관 → 토신초 → 신흥1리 → 남원생활체육관,순환,2022-07-18
읍면지선버스,741-2,남원생활체육관 → 신흥1리 → 토신초 → 남원생활체육관,순환,2022-07-18
읍면지선버스,742-1,남원체육관 → 신흥1리 → 한남리 → 남원체육관,순환,2022-07-18
읍면지선버스,742-2,남원체육관 → 한남리 → 신흥1리 → 남원체육관,순환,2022-07-18
읍면지선버스,743-1,의귀초등학교 → 대원상동 → 상위미 → 의귀초등학교,순환,2022-07-18
읍면지선버스,743-2,의귀초등학교 → 상위미 → 대원상동 → 의귀초등학교,순환,2022-07-18
읍면지선버스,751-1,운진항(모슬포남항) ↔ 안덕면사무소,없음,2022-07-18
읍면지선버스,751-2,운진항(모슬포남항) ↔ 인성리 ↔ 신평리 ↔ 한국국제학교 ↔ 안덕농협 ↔ 대평리,없음,2022-07-18
읍면지선버스,752-1,운진항(모슬포남항) → 안덕농협 → 동광환승정류장 → 신화역사공원 → 운진항(모슬포남항),없음,2022-07-18
읍면지선버스,752-2,운진항(모슬포남항)→ 신화역사공원 → 동광환승정류장 → 안덕농협 → 운진항(모슬포남항),없음,2022-07-18
읍면지선버스,761-1,고산1리 ↔ 신도2리 ↔ 인향동 ↔ 하모3리축협 ↔ 운진항(모슬포남항),없음,2022-07-18
읍면지선버스,761-2,고산1리 ↔ 좌기동 ↔ 운진항(모슬포남항),없음,2022-07-18
읍면지선버스,761-3,운진항(모슬포남항) ↔ 현대미술관,없음,2022-07-18
읍면지선버스,771-1,고산1리(고산성당) ↔ 동광환승센터,없음,2022-07-18
읍면지선버스,771-2,고산1리(고산성당) ↔ 동광환승센터,없음,2022-07-18
읍면지선버스,772-1,고산1리(고산성당) → 저청중학교 → 한경면사무소 → 고산1리(고산성당),순환,2022-07-18
읍면지선버스,772-2,고산1리(고산성당) → 한경면사무소 → 저청중학교 → 고산1리(고산성당),순환,2022-07-18
