구분,노선번호,노선,비고,데이터기준일자
서귀포간선버스,510,제주국제컨벤션센터 ↔ 중문우체국 서귀포버스터미널(제주월드컵경기장) ↔ 중앙로터리(동) ↔ 남원읍사무소,없음,2022-06-16
서귀포간선버스,520,제주국제컨벤션센터 ↔ 서귀포중학교 ↔ 중앙로터리(서) ↔ 보목신협앞 ↔ 효돈중학교,없음,2022-06-16
서귀포간선버스,521,제주국제컨벤션센터 ↔ 서귀포여고 ↔ 구.터미널 ↔ 보목신협앞 ↔ 효돈중학교,없음,2022-06-16
서귀포간선버스,531,하례리입구 ↔ 중앙로터리(서) ↔ 서귀포여자고등학교 ↔ 강정초등학교 ↔ 중문동주민센터 ↔ 대평리,없음,2022-06-16
서귀포간선버스,532,하례리입구 ↔ 중앙로터리(서) ↔ 서귀포여자고등학교 ↔ 중문동주민센터 ↔ 안덕계곡 ↔ 화순리,없음,2022-06-16
서귀포지선버스,611,충혼묘지 ↔ 비석거리 ↔ 서귀여중 ↔ 천지연,없음,2022-06-16
서귀포지선버스,612,충혼묘지 ↔ 비석거리 ↔ 서귀여중 ↔ 천지연,없음,2022-06-16
서귀포지선버스,615,하례리입구 ↔ 토평초등학교 ↔ 서귀포향토오일시장 ↔ 중앙로터리 ↔ 외돌개,없음,2022-06-16
서귀포지선버스,616,하례리입구 ↔ 토평초등학교 ↔ 서귀포향토오일시장 ↔ 중앙로터리 ↔ 외돌개,없음,2022-06-16
서귀포지선버스,621,하례리입구 → 신례초등학교 → 서귀포향토오일시장 → 신례초등학교 → 하례리입구,순환,2022-06-16
서귀포지선버스,622,하례리입구 ↔ 공천포 ↔ 비석거리 ↔ 동문로터리 ↔ 서귀여중 ↔ 삼매봉,없음,2022-06-16
서귀포지선버스,623,하례리입구 → 신례리 → 상위미 → 효돈초등학교 → 하례리입구,순환,2022-06-16
서귀포지선버스,624,하례리입구 → 효돈초등학교 → 상위미 → 신례리 → 하례리입구,순환,2022-06-16
서귀포지선버스,625,토평마을회관 ↔ 서귀포향토오일시장 ↔ 주공2아파트 ↔ 중앙로터리(동) ↔ 헬스케어타운,없음,2022-06-16
서귀포지선버스,627,공업단지입구 ↔ 하례환승정류장 ↔ 외돌개,없음,2022-06-16
서귀포지선버스,630,토평초등학교 ↔ 서귀포향토오일시장 ↔ 중앙로터리(서) ↔ 서귀포중학교 ↔ 세기아파트 ↔ 보목포구,없음,2022-06-16
서귀포지선버스,633,대평리 ↔ 중문우체국 ↔ 서귀포여중(여고) ↔ 동문로터리 ↔ 삼성여고,없음,2022-06-16
서귀포지선버스,635,토평마을회관 ↔ 서귀포향토오일시장 ↔ 서귀포보건소 ↔ 중앙로터리(서) ↔ 서귀포소방서 ↔ 남주중고등학교,없음,2022-06-16
서귀포지선버스,641,천지연폭포 → 중앙로터리 → 고근산 → 법환초등학교 → 천지연폭포,순환,2022-06-16
서귀포지선버스,642,천지연폭포 → 법환초등학교 → 고근산 → 중앙로터리 → 천지연폭포,순환,2022-06-16
서귀포지선버스,643,농업기술원 → 중앙로터리(서) → 강정천 → 농업기술원,순환,2022-06-16
서귀포지선버스,644,농업기술원 → 강정천 → 중앙로터리(동) → 농업기술원,순환,2022-06-16
서귀포지선버스,645,약천사 → 서귀여중 → 중앙로터리(서) → 약천사,순환,2022-06-16
서귀포지선버스,651,회수 ↔ 중문초등학교 ↔ 월평 ↔ 강정천 ↔ 법환초등학교 ↔ 서귀포여고 ↔ 동문로터리(동미빌딩),없음,2022-06-16
서귀포지선버스,652,회수 ↔ 중문초등학교 ↔ 대포 ↔ 강정천 ↔ 법환초등학교 ↔ 서귀포여고 ↔ 동문로터리(동미빌딩),없음,2022-06-16
서귀포지선버스,655,천제연폭포 ↔ 회수사거리 ↔ 신시가지 ↔ 중앙로터리(서) ↔ 서귀포향토오일시장 ↔ 신례초등학교 ↔ 제주공천포전지훈련센터,없음,2022-06-16
서귀포지선버스,690,평안전문요양원 ↔ 중앙로터리(서) ↔ 대포포구,없음,2022-06-16
서귀포지선버스,691,천지연 → 서홍새마을금고 → 신시가지 → 서귀포여고 → 천지연,순환(아침 3회 운행),2022-06-16
서귀포지선버스,692,천지연 → 서귀포여고 → 신시가지 → 서귀포여고 → 천지연,순환(아침 1회 운행),2022-06-16
