구분,노선번호,노선,비고,데이터기준일자
읍면지선버스,701-1,조천체육관 → 대흘2리새동네 → 교래리 종합복지회관 → 조천체육관,순환,2022-06-16
읍면지선버스,701-2,조천체육관 → 교래리 종합복지회관 → 대흘2리새동네 → 조천체육관,순환,2022-06-16
읍면지선버스,701-3,신촌초등학교 → 함덕종점(신사동) → 동수동 → 신촌초등학교,순환,2022-06-16
읍면지선버스,701-4,신촌초등학교 → 동수동 → 함덕종점(신사동) → 신촌초등학교,순환,2022-06-16
읍면지선버스,702-1,신촌초등학교 → 함덕고등학교 → 고상동 → 신촌초등학교,순환,2022-06-16
읍면지선버스,702-2,신촌초등학교 → 고상동 → 함덕고등학교 → 신촌초등학교,순환,2022-06-16
읍면지선버스,703-1,신촌초등학교 → 함덕고등학교 → 봉소동 → 신촌초등학교,순환,2022-06-16
읍면지선버스,703-2,신촌초등학교 → 봉소동 → 함덕고등학교 → 신촌초등학교,순환,2022-06-16
읍면지선버스,704-1,조천체육관 → 양잠단지 → 백화동 조천체육관,순환,2022-06-16
읍면지선버스,704-2,조천체육관 → 백화동 → 양잠단지 조천체육관,순환,2022-06-16
읍면지선버스,704-3,조천체육관 → 웃가름 → 낙선동 → 조천체육관,순환,2022-06-16
읍면지선버스,704-4,조천체육관 ↔ 송당리,없음,2022-06-16
읍면지선버스,711-1,김녕리 ↔ 해녀박물관,없음,2022-06-16
읍면지선버스,711-2,김녕리 ↔ 종달항,없음,2022-06-16
읍면지선버스,721-1,성읍문화마을 ↔ 섭지코지 ↔ 고성리(구.한국문류),없음,2022-06-16
읍면지선버스,721-2,성읍문화마을 ↔ 섭지코지 ↔ 고성리(구.한국문류),없음,2022-06-16
읍면지선버스,721-3,성읍문화마을 ↔ 섭지코지 ↔ 고성리(구.한국문류),없음,2022-06-16
읍면지선버스,722-1,성읍문화마을 ↔ 온평초등학교 ↔ 고성리(구.한국문류),없음,2022-06-16
읍면지선버스,722-2,성읍문화마을 ↔ 온평초등학교 ↔ 고성리(구.한국문류),없음,2022-06-16
읍면지선버스,731-1,성읍문화마을 ↔ 하천하동 ↔ 표선(제주민속촌),없음,2022-06-16
읍면지선버스,731-2,성읍문화마을 ↔ 하천하동 ↔ 표선(제주민속촌),없음,2022-06-16
읍면지선버스,732-1,성읍문화마을 ↔ 세화1리 ↔ 표선(제주민속촌),없음,2022-06-16
읍면지선버스,732-2,표선생활체육관 → 두수동 → 표선생활체육관,순환,2022-06-16
읍면지선버스,732-3,표선(제주민속촌) ↔ 토산1리사무소,없음,2022-06-16
읍면지선버스,741-1,남원생활체육관 → 토신초 → 신흥1리 → 남원생활체육관,순환,2022-06-16
읍면지선버스,741-2,남원생활체육관 → 신흥1리 → 토신초 → 남원생활체육관,순환,2022-06-16
읍면지선버스,742-1,남원체육관 → 신흥1리 → 한남리 → 남원체육관,순환,2022-06-16
읍면지선버스,742-2,남원체육관 → 한남리 → 신흥1리 → 남원체육관,순환,2022-06-16
읍면지선버스,743-1,의귀초등학교 → 대원상동 → 상위미 → 의귀초등학교,순환,2022-06-16
읍면지선버스,743-2,의귀초등학교 → 상위미 → 대원상동 → 의귀초등학교,순환,2022-06-16
읍면지선버스,751-1,운진항(모슬포남항) ↔ 안덕면사무소,없음,2022-06-16
읍면지선버스,751-2,운진항(모슬포남항) ↔ 인성리 ↔ 신평리 ↔ 한국국제학교 ↔ 안덕농협 ↔ 대평리,없음,2022-06-16
읍면지선버스,752-1,운진항(모슬포남항) → 안덕농협 → 동광환승정류장 → 신화역사공원 → 운진항(모슬포남항),없음,2022-06-16
읍면지선버스,752-2,운진항(모슬포남항)→ 신화역사공원 → 동광환승정류장 → 안덕농협 → 운진항(모슬포남항),없음,2022-06-16
읍면지선버스,761-1,고산1리 ↔ 신도2리 ↔ 인향동 ↔ 하모3리축협 ↔ 운진항(모슬포남항),없음,2022-06-16
읍면지선버스,761-2,고산1리 ↔ 좌기동 ↔ 운진항(모슬포남항),없음,2022-06-16
읍면지선버스,761-3,운진항(모슬포남항) ↔ 현대미술관,없음,2022-06-16
읍면지선버스,771-1,고산1리(고산성당) ↔ 동광환승센터,없음,2022-06-16
읍면지선버스,771-2,고산1리(고산성당) ↔ 동광환승센터,없음,2022-06-16
읍면지선버스,772-1,고산1리(고산성당) → 저청중학교 → 한경면사무소 → 고산1리(고산성당),순환,2022-06-16
읍면지선버스,772-2,고산1리(고산성당) → 한경면사무소 → 저청중학교 → 고산1리(고산성당),순환,2022-06-16
읍면지선버스,781-1,한림2리 → 귀덕1리 → 한림오일시장 → 한림2리,순환,2022-06-16
읍면지선버스,781-2,한림2리 → 한림오일시장 → 귀덕1리 → 한림2리,순환,2022-06-16
읍면지선버스,782-1,한림2리 → 봉성하나로마트 → 귀덕초등학교 → 한림2리,순환,2022-06-16
읍면지선버스,782-2,한림2리 → 귀덕초등학교 → 봉성하나로마트 → 한림2리,순환,2022-06-16
읍면지선버스,783-1,한림2리 ↔ 상명리 ↔ 동광환승센터,4. 9일 한림오일시장경유,2022-06-16
읍면지선버스,783-2,한림2리 ↔ 양돈단지 ↔ 동광환승센터,4. 9일 한림오일시장경유,2022-06-16
읍면지선버스,784-1,한림2리 ↔ 금능농공단지 ↔ 동광환승센터,없음,2022-06-16
읍면지선버스,784-2,한림2리 ↔ 조수리 ↔ 동광환승센터,없음,2022-06-16
읍면지선버스,785,한림2리 ↔ 한경면사무소,없음,2022-06-16
읍면지선버스,791,하귀하나로마트 ↔ 유수암단지,없음,2022-06-16
읍면지선버스,792-1,하귀하나로마트 → 소길리 → 유수암리사무소 → 하귀하나로마트,순환,2022-06-16
읍면지선버스,792-2,하귀하나로마트 → 유수암리사무소 → 소길리 → 하귀하나로마트,순환,2022-06-16
읍면지선버스,793-1,애월하나로마트 ↔ 하귀하나로마트,없음,2022-06-16
읍면지선버스,793-2,애월하나로마트 ↔ 하귀하나로마트,없음,2022-06-16
읍면지선버스,794-1,애월하나로마트 ↔ 납읍리섯잣길 ↔ 봉성리사무소 ↔ 어음2리사무소,없음,2022-06-16
읍면지선버스,794-2,애월하나로마트 ↔ 납읍리섯잣길 ↔ 봉성리사무소 ↔ 어음2리사무소,없음,2022-06-16
